;Scopy version,dda5ec6
;Exported on,Friday January 14/01/2022
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.0016,0.48122,0.497341
1,-0.001599,0.482738,0.497341
2,-0.001598,0.482738,0.497341
3,-0.001597,0.482738,0.497341
4,-0.001596,0.482738,0.497341
5,-0.001595,0.482738,0.497341
6,-0.001594,0.482738,0.495823
7,-0.001593,0.482738,0.497341
8,-0.001592,0.482738,0.497341
9,-0.001591,0.482738,0.497341
10,-0.00159,0.482738,0.495823
11,-0.001589,0.482738,0.495823
12,-0.001588,0.482738,0.495823
13,-0.001587,0.482738,0.497341
14,-0.001586,0.482738,0.497341
15,-0.001585,0.482738,0.497341
16,-0.001584,0.482738,0.497341
17,-0.001583,0.484256,0.497341
18,-0.001582,0.484256,0.497341
19,-0.001581,0.484256,0.497341
20,-0.00158,0.484256,0.497341
21,-0.001579,0.484256,0.497341
22,-0.001578,0.484256,0.497341
23,-0.001577,0.484256,0.497341
24,-0.001576,0.482738,0.500377
25,-0.001575,0.482738,0.497341
26,-0.001574,0.484256,0.495823
27,-0.001573,0.484256,0.497341
28,-0.001572,0.484256,0.497341
29,-0.001571,0.484256,0.497341
30,-0.00157,0.484256,0.497341
31,-0.001569,0.484256,0.491269
32,-0.001568,0.484256,0.559581
33,-0.001567,0.48122,-0.264717
34,-0.001566,0.472112,-0.490906
35,-0.001565,0.461485,-0.50305
36,-0.001564,0.450859,-0.501532
37,-0.001563,0.441751,-0.501532
38,-0.001562,0.432643,-0.501532
39,-0.001561,0.422016,-0.50305
40,-0.00156,0.412908,-0.501532
41,-0.001559,0.402282,-0.501532
42,-0.001558,0.39621,-0.506086
43,-0.001557,0.385583,-0.501532
44,-0.001556,0.377993,-0.501532
45,-0.001555,0.368885,-0.500014
46,-0.001554,0.359776,-0.50305
47,-0.001553,0.350668,-0.501532
48,-0.001552,0.34156,-0.501532
49,-0.001551,0.332452,-0.501532
50,-0.00155,0.324861,-0.501532
51,-0.001549,0.317271,-0.501532
52,-0.001548,0.308163,-0.501532
53,-0.001547,0.299055,-0.501532
54,-0.001546,0.291465,-0.501532
55,-0.001545,0.282356,-0.501532
56,-0.001544,0.274766,-0.50305
57,-0.001543,0.268694,-0.501532
58,-0.001542,0.259586,-0.50305
59,-0.001541,0.253513,-0.501532
60,-0.00154,0.244405,-0.501532
61,-0.001539,0.239851,-0.501532
62,-0.001538,0.229225,-0.501532
63,-0.001537,0.223153,-0.501532
64,-0.001536,0.21708,-0.501532
65,-0.001535,0.206454,-0.501532
66,-0.001534,0.200382,-0.50305
67,-0.001533,0.19431,-0.50305
68,-0.001532,0.186719,-0.50305
69,-0.001531,0.177611,-0.501532
70,-0.00153,0.171539,-0.501532
71,-0.001529,0.163949,-0.501532
72,-0.001528,0.157877,-0.50305
73,-0.001527,0.151804,-0.501532
74,-0.001526,0.145732,-0.50305
75,-0.001525,0.138142,-0.50305
76,-0.001524,0.13207,-0.50305
77,-0.001523,0.125998,-0.50305
78,-0.001522,0.119925,-0.50305
79,-0.001521,0.112335,-0.501532
80,-0.00152,0.106263,-0.50305
81,-0.001519,0.100191,-0.500014
82,-0.001518,0.0926007,-0.50305
83,-0.001517,0.0880466,-0.50305
84,-0.001516,0.0819744,-0.50305
85,-0.001515,0.0743842,-0.50305
86,-0.001514,0.06983,-0.50305
87,-0.001513,0.0622398,-0.50305
88,-0.001512,0.0592037,-0.50305
89,-0.001511,0.0531316,-0.50305
90,-0.00151,0.0485774,-0.50305
91,-0.001509,0.0425052,-0.500014
92,-0.001508,0.034915,-0.50305
93,-0.001507,0.0318789,-0.50305
94,-0.001506,0.0258068,-0.50305
95,-0.001505,0.0197346,-0.50305
96,-0.001504,0.0136624,-0.50305
97,-0.001503,0.0106263,-0.50305
98,-0.001502,0.00455413,-0.50305
99,-0.001501,0,-0.506086
100,-0.0015,-0.00607218,-0.50305
101,-0.001499,-0.0106263,-0.500014
102,-0.001498,-0.0151804,-0.50305
103,-0.001497,-0.0212526,-0.50305
104,-0.001496,-0.0258068,-0.50305
105,-0.001495,-0.0303609,-0.50305
106,-0.001494,-0.034915,-0.50305
107,-0.001493,-0.0394692,-0.501532
108,-0.001492,-0.0440233,-0.50305
109,-0.001491,-0.0470594,-0.50305
110,-0.00149,-0.0531316,-0.50305
111,-0.001489,-0.0576857,-0.50305
112,-0.001488,-0.0622398,-0.50305
113,-0.001487,-0.0667939,-0.506086
114,-0.001486,-0.0743842,-0.50305
115,-0.001485,-0.0759022,-0.50305
