"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.962127686E-1,7.896423340E-2,8.678771973E0,8.681348844E0
2.258301000E-3,-1.818542480E-1,7.656860352E-2,9.207580566E0,9.209694545E0
4.577637000E-3,-1.770629883E-1,7.656860352E-2,9.449264526E0,9.451233472E0
6.927490000E-3,-1.746826172E-1,6.460571289E-2,9.547363281E0,9.549179731E0
9.246826000E-3,-1.722869873E-1,6.460571289E-2,9.588043213E0,9.589808619E0
1.159668000E-2,-1.866455078E-1,5.981445312E-2,9.623931885E0,9.625927448E0
1.391601600E-2,-1.866455078E-1,6.221008301E-2,9.623931885E0,9.625942632E0
1.626586900E-2,-1.651000977E-1,7.896423340E-2,9.645462036E0,9.647198105E0
1.858520500E-2,-1.651000977E-1,7.896423340E-2,9.645462036E0,9.647198105E0
2.093505800E-2,-1.818542480E-1,6.460571289E-2,9.645462036E0,9.647392537E0
2.325439400E-2,-1.794586182E-1,6.700134277E-2,9.655044556E0,9.656944649E0
2.560424800E-2,-1.866455078E-1,6.221008301E-2,9.640686035E0,9.642693289E0
2.795410100E-2,-1.842498779E-1,7.177734375E-2,9.643081665E0,9.645108812E0
3.030395500E-2,-1.866455078E-1,6.939697266E-2,9.655044556E0,9.657097797E0
3.262329100E-2,-1.746826172E-1,5.981445312E-2,9.662216187E0,9.663980206E0
3.497314400E-2,-1.842498779E-1,6.460571289E-2,9.640686035E0,9.642662970E0
3.732299800E-2,-1.818542480E-1,7.177734375E-2,9.638290405E0,9.640273071E0
3.964233400E-2,-1.938171387E-1,7.896423340E-2,9.628723145E0,9.630997343E0
4.199218700E-2,-1.914215088E-1,6.939697266E-2,9.616760254E0,9.618915527E0
4.431152300E-2,-1.866455078E-1,5.981445312E-2,9.614364624E0,9.616362173E0
4.666137700E-2,-1.818542480E-1,7.417297363E-2,9.628723145E0,9.630725933E0
4.898071300E-2,-1.818542480E-1,6.700134277E-2,9.647857666E0,9.649804023E0
5.133056600E-2,-1.794586182E-1,6.939697266E-2,9.647857666E0,9.649776105E0
