;Scopy version,dda5ec6
;Exported on,Monday January 17/01/2022
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.0016,-0.448401,-0.515195
1,-0.001599,-0.448401,-0.515195
2,-0.001598,-0.448401,-0.515195
3,-0.001597,-0.448401,-0.515195
4,-0.001596,-0.448401,-0.515195
5,-0.001595,-0.446883,-0.515195
6,-0.001594,-0.448401,-0.515195
7,-0.001593,-0.448401,-0.515195
8,-0.001592,-0.448401,-0.515195
9,-0.001591,-0.448401,-0.515195
10,-0.00159,-0.448401,-0.515195
11,-0.001589,-0.446883,-0.515195
12,-0.001588,-0.448401,-0.515195
13,-0.001587,-0.448401,-0.515195
14,-0.001586,-0.448401,-0.513677
15,-0.001585,-0.448401,-0.516713
16,-0.001584,-0.448401,-0.515195
17,-0.001583,-0.448401,-0.513677
18,-0.001582,-0.448401,-0.516713
19,-0.001581,-0.448401,-0.515195
20,-0.00158,-0.448401,-0.515195
21,-0.001579,-0.448401,-0.515195
22,-0.001578,-0.448401,-0.515195
23,-0.001577,-0.448401,-0.515195
24,-0.001576,-0.448401,-0.515195
25,-0.001575,-0.448401,-0.515195
26,-0.001574,-0.448401,-0.515195
27,-0.001573,-0.448401,-0.515195
28,-0.001572,-0.448401,-0.515195
29,-0.001571,-0.448401,-0.513677
30,-0.00157,-0.448401,-0.513677
31,-0.001569,-0.448401,-0.515195
32,-0.001568,-0.448401,-0.513677
33,-0.001567,-0.448401,-0.516713
34,-0.001566,-0.448401,-0.515195
35,-0.001565,-0.448401,-0.515195
36,-0.001564,-0.448401,-0.515195
37,-0.001563,-0.448401,-0.515195
38,-0.001562,-0.448401,-0.515195
39,-0.001561,-0.448401,-0.515195
40,-0.00156,-0.448401,-0.515195
41,-0.001559,-0.448401,-0.515195
42,-0.001558,-0.448401,-0.515195
43,-0.001557,-0.448401,-0.516713
44,-0.001556,-0.448401,-0.513677
45,-0.001555,-0.448401,-0.515195
46,-0.001554,-0.448401,-0.515195
47,-0.001553,-0.448401,-0.515195
48,-0.001552,-0.448401,-0.515195
49,-0.001551,-0.448401,-0.515195
50,-0.00155,-0.448401,-0.512159
51,-0.001549,-0.448401,-0.515195
52,-0.001548,-0.448401,-0.515195
53,-0.001547,-0.448401,-0.515195
